CBSA,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,LSAD
35700,"Nogales, AZ",47668,47712,47956,48680,49158,Micropolitan Statistical Area
35700,"Santa Cruz County, AZ",47668,47712,47956,48680,49158,County or equivalent
35740,"Norfolk, NE",48758,48704,48551,48496,48782,Micropolitan Statistical Area
35740,"Madison County, NE",35589,35530,35395,35414,35627,County or equivalent
35740,"Pierce County, NE",7319,7345,7319,7317,7299,County or equivalent
35740,"Stanton County, NE",5850,5829,5837,5765,5856,County or equivalent
35820,"North Platte, NE",35392,35247,34759,34299,34020,Micropolitan Statistical Area
35820,"Lincoln County, NE",34674,34532,34074,33614,33365,County or equivalent
35820,"Logan County, NE",718,715,685,685,655,County or equivalent
35900,"North Wilkesboro, NC",65973,65916,65826,65791,66013,Micropolitan Statistical Area
35900,"Wilkes County, NC",65973,65916,65826,65791,66013,County or equivalent
35940,"Norwalk, OH",58571,58495,58412,58219,58199,Micropolitan Statistical Area
35940,"Huron County, OH",58571,58495,58412,58219,58199,County or equivalent
36020,"Oak Harbor, WA",86851,86998,87566,86682,86267,Micropolitan Statistical Area
36020,"Island County, WA",86851,86998,87566,86682,86267,County or equivalent
36180,"Ocean Pines, MD",52465,52522,53398,53934,54171,Micropolitan Statistical Area
36180,"Worcester County, MD",52465,52522,53398,53934,54171,County or equivalent
36340,"Oil City, PA",50462,50365,50040,49734,49431,Micropolitan Statistical Area
36340,"Venango County, PA",50462,50365,50040,49734,49431,County or equivalent
36380,"Okeechobee, FL",39642,39652,40031,40373,41427,Micropolitan Statistical Area
36380,"Okeechobee County, FL",39642,39652,40031,40373,41427,County or equivalent
36460,"Olean, NY",77034,76974,76539,76050,75600,Micropolitan Statistical Area
36460,"Cattaraugus County, NY",77034,76974,76539,76050,75600,County or equivalent
36580,"Oneonta, NY",58528,58373,60732,60409,60126,Micropolitan Statistical Area
36580,"Otsego County, NY",58528,58373,60732,60409,60126,County or equivalent
36620,"Ontario, OR-ID",56956,57232,58063,58787,59323,Micropolitan Statistical Area
36620,"Payette County, ID",25389,25590,26386,26929,27279,County or equivalent
36620,"Malheur County, OR",31567,31642,31677,31858,32044,County or equivalent
36660,"Opelousas, LA",82557,82314,82191,81679,81464,Micropolitan Statistical Area
36660,"St. Landry Parish, LA",82557,82314,82191,81679,81464,County or equivalent
36700,"Orangeburg, SC",84221,83954,82815,83101,82820,Micropolitan Statistical Area
36700,"Orangeburg County, SC",84221,83954,82815,83101,82820,County or equivalent
36820,"Oskaloosa, IA",22190,22160,21974,21971,21874,Micropolitan Statistical Area
36820,"Mahaska County, IA",22190,22160,21974,21971,21874,County or equivalent
36830,"Othello, WA",20609,20607,20647,20898,20820,Micropolitan Statistical Area
36830,"Adams County, WA",20609,20607,20647,20898,20820,County or equivalent
36837,"Ottawa, IL",148529,148231,147707,146561,146599,Micropolitan Statistical Area
36837,"Bureau County, IL",33243,33191,32959,32827,32729,County or equivalent
36837,"LaSalle County, IL",109650,109410,109160,108181,108309,County or equivalent
36837,"Putnam County, IL",5636,5630,5588,5553,5561,County or equivalent
36840,"Ottawa, KS",25983,26000,26002,25959,26125,Micropolitan Statistical Area
36840,"Franklin County, KS",25983,26000,26002,25959,26125,County or equivalent
36900,"Ottumwa, IA",35436,35326,35295,35081,35166,Micropolitan Statistical Area
36900,"Wapello County, IA",35436,35326,35295,35081,35166,County or equivalent
36940,"Owatonna, MN",37406,37384,37427,37429,37421,Micropolitan Statistical Area
36940,"Steele County, MN",37406,37384,37427,37429,37421,County or equivalent
37020,"Owosso, MI",68095,68010,67991,67967,68025,Micropolitan Statistical Area
37020,"Shiawassee County, MI",68095,68010,67991,67967,68025,County or equivalent
37060,"Oxford, MS",68296,68351,69341,70143,70853,Micropolitan Statistical Area
37060,"Lafayette County, MS",55814,55913,56902,57730,58467,County or equivalent
37060,"Yalobusha County, MS",12482,12438,12439,12413,12386,County or equivalent
37120,"Ozark, AL",49322,49257,49395,49495,49871,Micropolitan Statistical Area
37120,"Dale County, AL",49322,49257,49395,49495,49871,County or equivalent
37220,"Pahrump, NV",51588,51963,53324,54769,55720,Micropolitan Statistical Area
37220,"Nye County, NV",51588,51963,53324,54769,55720,County or equivalent
37260,"Palatka, FL",73319,73372,74095,74736,75955,Micropolitan Statistical Area
37260,"Putnam County, FL",73319,73372,74095,74736,75955,County or equivalent
37300,"Palestine, TX",57921,57930,58302,57227,57736,Micropolitan Statistical Area
37300,"Anderson County, TX",57921,57930,58302,57227,57736,County or equivalent
37420,"Pampa, TX",22057,22021,21929,21792,21756,Micropolitan Statistical Area
37420,"Gray County, TX",21229,21199,21128,20980,20916,County or equivalent
37420,"Roberts County, TX",828,822,801,812,840,County or equivalent
37500,"Paragould, AR",45738,45864,46341,46408,46743,Micropolitan Statistical Area
37500,"Greene County, AR",45738,45864,46341,46408,46743,County or equivalent
37540,"Paris, TN",32200,32149,32246,32382,32554,Micropolitan Statistical Area
37540,"Henry County, TN",32200,32149,32246,32382,32554,County or equivalent
37580,"Paris, TX",61670,61692,61910,62120,62805,Micropolitan Statistical Area
37580,"Lamar County, TX",50081,50131,50349,50515,51127,County or equivalent
37580,"Red River County, TX",11589,11561,11561,11605,11678,County or equivalent
37740,"Payson, AZ",53271,53351,53549,53922,54003,Micropolitan Statistical Area
37740,"Gila County, AZ",53271,53351,53549,53922,54003,County or equivalent
37800,"Pella, IA",33418,33414,33441,33630,33770,Micropolitan Statistical Area
37800,"Marion County, IA",33418,33414,33441,33630,33770,County or equivalent
37940,"Peru, IN",35963,35906,35999,35546,35402,Micropolitan Statistical Area
37940,"Miami County, IN",35963,35906,35999,35546,35402,County or equivalent
37950,"Petoskey, MI",34111,34113,34297,34215,34123,Micropolitan Statistical Area
37950,"Emmet County, MI",34111,34113,34297,34215,34123,County or equivalent
38100,"Picayune, MS",56153,56211,56480,57183,57978,Micropolitan Statistical Area
38100,"Pearl River County, MS",56153,56211,56480,57183,57978,County or equivalent
38180,"Pierre, SD",20750,20711,20795,20698,20667,Micropolitan Statistical Area
38180,"Hughes County, SD",17769,17740,17760,17681,17624,County or equivalent
38180,"Stanley County, SD",2981,2971,3035,3017,3043,County or equivalent
38210,"Pikeville, KY",94604,94239,92720,91235,90396,Micropolitan Statistical Area
38210,"Floyd County, KY",35941,35798,35304,34918,34423,County or equivalent
38210,"Pike County, KY",58663,58441,57416,56317,55973,County or equivalent
38220,"Pine Bluff, AR",74808,74382,73123,71762,71039,Micropolitan Statistical Area
38220,"Cleveland County, AR",7550,7552,7486,7467,7378,County or equivalent
38220,"Jefferson County, AR",67258,66830,65637,64295,63661,County or equivalent
38260,"Pittsburg, KS",38971,38948,39028,39145,38764,Micropolitan Statistical Area
38260,"Crawford County, KS",38971,38948,39028,39145,38764,County or equivalent
38380,"Plainview, TX",37923,37835,37500,37205,36851,Micropolitan Statistical Area
38380,"Floyd County, TX",5397,5370,5292,5239,5090,County or equivalent
38380,"Hale County, TX",32526,32465,32208,31966,31761,County or equivalent
38420,"Platteville, WI",51943,51985,51296,51315,51409,Micropolitan Statistical Area
38420,"Grant County, WI",51943,51985,51296,51315,51409,County or equivalent
38460,"Plattsburgh, NY",79838,79699,78993,78037,78115,Micropolitan Statistical Area
38460,"Clinton County, NY",79838,79699,78993,78037,78115,County or equivalent
38500,"Plymouth, IN",46085,46071,46160,46378,46352,Micropolitan Statistical Area
38500,"Marshall County, IN",46085,46071,46160,46378,46352,County or equivalent
38620,"Ponca City, OK",43690,43599,43715,43738,43641,Micropolitan Statistical Area
38620,"Kay County, OK",43690,43599,43715,43738,43641,County or equivalent
38700,"Pontiac, IL",35827,35792,35769,35517,35320,Micropolitan Statistical Area
38700,"Livingston County, IL",35827,35792,35769,35517,35320,County or equivalent
38740,"Poplar Bluff, MO",42135,42070,42170,42166,41948,Micropolitan Statistical Area
38740,"Butler County, MO",42135,42070,42170,42166,41948,County or equivalent
38820,"Port Angeles, WA",77166,77367,78466,77684,77616,Micropolitan Statistical Area
38820,"Clallam County, WA",77166,77367,78466,77684,77616,County or equivalent
38920,"Port Lavaca, TX",20105,20064,19782,19682,19696,Micropolitan Statistical Area
38920,"Calhoun County, TX",20105,20064,19782,19682,19696,County or equivalent
39020,"Portsmouth, OH",74009,73848,72989,72189,71969,Micropolitan Statistical Area
39020,"Scioto County, OH",74009,73848,72989,72189,71969,County or equivalent
39040,"Port Townsend, WA",32971,33061,33553,33570,33714,Micropolitan Statistical Area
39040,"Jefferson County, WA",32971,33061,33553,33570,33714,County or equivalent
39060,"Pottsville, PA",143056,142963,143157,143188,143786,Micropolitan Statistical Area
39060,"Schuylkill County, PA",143056,142963,143157,143188,143786,County or equivalent
39220,"Price, UT",20416,20487,20360,20540,20609,Micropolitan Statistical Area
39220,"Carbon County, UT",20416,20487,20360,20540,20609,County or equivalent
39420,"Pullman, WA",47970,47807,43224,47579,48012,Micropolitan Statistical Area
39420,"Whitman County, WA",47970,47807,43224,47579,48012,County or equivalent
39480,"Putnam, CT",95336,95222,95605,96148,96692,Micropolitan Statistical Area
39480,"Northeastern Connecticut Planning Region, CT",95336,95222,95605,96148,96692,County or equivalent
39500,"Quincy, IL-MO",75761,75651,75058,74442,74259,Micropolitan Statistical Area
39500,"Adams County, IL",65729,65614,65064,64556,64441,County or equivalent
39500,"Lewis County, MO",10032,10037,9994,9886,9818,County or equivalent
39700,"Raymondville, TX",20164,20148,20292,20254,20037,Micropolitan Statistical Area
39700,"Willacy County, TX",20164,20148,20292,20254,20037,County or equivalent
39780,"Red Bluff, CA",65832,65687,65446,65299,64896,Micropolitan Statistical Area
39780,"Tehama County, CA",65832,65687,65446,65299,64896,County or equivalent
